"Suburb","Total_Number","BYO_Only","Ordinary_Trading_Hours","Gambling_Allowed"
"KIEWA",2,0,2,0
"KILCUNDA",4,0,2,0
"KILLARNEY",3,0,2,0
"KILMORE",26,1,12,1
"KILSYTH",17,0,11,1
"KILSYTH SOUTH",1,0,2,0
"KING VALLEY",6,0,2,0
"KINGLAKE",4,0,4,0
"KINGLAKE CENTRAL",2,0,1,0
"KINGOWER",2,0,1,0
"KINGOWER VIA INGLEWOOD",1,0,1,0
"KINGSBURY",10,2,4,0
"KINGSTON",1,0,2,0
"KINGSVILLE",4,0,5,0
"KIRKSTALL",1,0,1,0
"KNOWSLEY",3,0,1,0
"KNOXFIELD",17,3,4,0
"KOO-WEE-RUP",2,0,2,0
"KOO WEE RUP",7,3,2,0
"KOONDROOK",3,0,2,0
"KOONOOMOO",4,0,4,0
"KOONWARRA",2,0,2,0
"KOORLONG",3,0,2,0
"KOOYONG",8,0,3,0
"KOROIT",11,0,5,0
"KORONG VALE",3,0,1,0
"KORUMBURRA",23,4,8,1
"KOTUPNA",1,0,1,0
"KOYUGA",1,0,1,0
"KYABRAM",20,1,5,1
"KYABRAM WEST",1,0,1,0
"KYNETON",51,2,29,2
"LAANG",1,1,1,0
"LABERTOUCHE",2,0,2,0
"LACEBY",1,0,1,0
"LAHARUM",4,0,2,0
"LAKE BOGA",7,0,2,0
"LAKE BOLAC",6,0,2,0
"LAKE BUNGA",1,0,1,0
"LAKE CHARM",2,0,2,0
"LAKE CULLULLERAINE",1,1,1,0
"LAKE EPPALOCK",1,1,1,0
"LAKE GILLEAR",1,0,1,0
"LAKE HUME VIA EBDEN",1,0,1,0
"LAKE LONSDALE",1,0,1,0
"LAKE TYERS BEACH",2,0,1,0
"LAKE WELLINGTON",1,0,1,0
"LAKE WENDOUREE",1,0,1,0
"LAKES ENTRANCE",40,2,15,3
"LAL LAL",1,0,1,0
"LALBERT",3,0,1,0
"LALOR",24,2,12,1
"LAMPLOUGH",2,0,1,0
"LANCASTER",1,0,1,0
"LANCEFIELD",24,0,3,0
"LANDSBOROUGH",4,0,2,0
"LANG LANG",9,1,3,0
"LANGWARRIN",15,1,9,1
"LARA",27,0,12,2
"LARA LAKE",1,0,1,0
"LASCELLES",1,0,1,0
"LAUNCHING PLACE",2,0,1,0
"LAVERS HILL",5,0,6,0
"LAVERTON",23,2,10,2
