vic_loca_2,num_of_liquor_shops
NARBETHONG,1
NARRACAN,2
NARRE WARREN,47
NARRE WARREN EAST,4
NARRE WARREN NORTH,8
NARRE WARREN SOUTH,14
NATHALIA,12
NATIMUK,6
NATTE YALLOCK,2
NAVARRE,2
NEERIM JUNCTION,1
NEERIM SOUTH,7
NELSON,4
NERRENA,1
NERRINA,1
NETHERBY,1
NEW GISBORNE,8
NEWBOROUGH,11
NEWBRIDGE,4
NEWCOMB,13
NEWHAM,5
NEWHAVEN,7
NEWLYN,2
NEWLYN NORTH,1
NEWMARKET,4
NEWMERELLA,1
NEWPORT,32
NEWRY,3
NEWSTEAD,10
NEWTOWN,30
NHILL,12
NICHOLS POINT,10
NICHOLSON,3
NIDDRIE,26
NIRRANDA,1
NO FIXED ADDRESS,5
NO FIXED PREMISES,1
NOBLE PARK,36
NOBLE PARK NORTH,4
NOOJEE,4
NOORAT,3
NORADJUHA,1
NORLANE,19
NORLANE WEST,1
NORONG,1
NORTH BALLARAT,2
NORTH BALWYN,4
NORTH BAYSWATER,1
NORTH BENDIGO,1
NORTH BRIGHTON,1
NORTH CARLTON,4
NORTH CAULFIELD,2
NORTH COBURG,1
NORTH CROYDON,1
NORTH DANDENONG,2
NORTH ESSENDON,7
NORTH FITZROY,5
NORTH GEELONG,11
NORTH GLENROY,1
NORTH MELBOURNE,87
NORTH RINGWOOD,3
NORTH SHORE,2
NORTH SUNSHINE,2
NORTH WANGARATTA,1
NORTH WARRANDYTE,1
NORTH WILLIAMSTOWN,2
NORTHCOTE,140
NOT APPLICABLE,4
NOTTING HILL,6
NOWA NOWA,1
NUG NUG,1
NULLAWARRE,2
NULLAWIL,1
NUMURKAH,20
NUNAWADING,27
NUNGURNER,1
NYAH,5
NYAH WEST,5
NYORA,3
OAK PARK,12
OAKLANDS JUNCTION,1
OAKLEIGH,70
OAKLEIGH EAST,6
OAKLEIGH SOUTH,14
OCEAN GROVE,46
OFFICER,12
OLINDA,23
OLXEY,1
OMEO,9
ON SUNRAYSIA HWY,1
ORBOST,15
ORMOND,27
ORMOND EAST,1
OUTTRIM,3
OUYEN,7
OVENS,2
OVENS VALE,1
OXLEY,7
PAKENHAM,58
PAKENHAM EAST,1
PAKENHAM UPPER,2
PANMURE,2
PANTON HILL,5
PARAPARAP,3
PARK ORCHARDS,8
PARKDALE,28
PARKVILLE,36
PASCOE VALE,32
PASCOE VALE SOUTH,14
PASTORIA,1
PASTORIA EAST VIA KYNETON,1
PATCHEWOLLOCK,1
PATTERSON LAKES,20
PAYNESVILLE,18
PEARCEDALE,6
PENNYROYAL,2
PENSHURST,5
PETERBOROUGH,3
PHEASANT CREEK,1
PHILLIP ISLAND,8
PIANGIL,4
PICOLA,3
PIGEON PONDS,1
PIMPINIO,1
PINE GROVE,1
PINE LODGE,1
PIPERS CREEK,3
PIRRON YALLOCK,2
PLENTY,10
PLUMPTON,2
POINT COOK,68
POINT LEO,2
POINT LONSDALE,15
POMBORNEIT,1
POMONAL,3
POOWONG,3
POREPUNKAH,17
PORT ALBERT,6
PORT CAMPBELL,14
PORT FAIRY,48
PORT MELBOURNE,136
PORT WELSHPOOL,2
PORTARLINGTON,22
PORTLAND,53
PORTSEA,9
POWELLTOWN,3
PRAHRAN,152
PRAHRAN EAST,1
PRESTON,140
PRESTON EAST,1
PRESTON SOUTH,2
PRESTON WEST,2
PRINCES HILL,2
PRINCETOWN,2
PURNIM,1
PYALONG,3
PYRAMID HILL,5
QUAMBATOOK,4
QUANTONG,2
QUARRY HILL,4
QUEENSCLIFF,42
QUEENSCLIFFE,1
RAINBOW,7
RAVENHALL,9
RAVENSWOOD,4
RAVENSWOOD NORTH,1
RAVENSWOOD SOUTH,1
RAWSON,4
RAYWOOD,5
RED CLIFFS,23
RED HILL,38
RED HILL SOUTH,24
REDAN,2
REDBANK,3
REDESDALE,5
RESEARCH,8
RESERVOIR,77
RHEOLA,1
RHYLL,10
RHYMNEY,1
RICHMOND,298
